نَجْمُ	,a star
الصَابُونْ	,the soap
و	,and
تَمْرِيْنْ , تَمَارِيْنْ	,practices (plural) / practice
تَاجرٌ	,merchant / businessman / trader / trading / dealing
الصَلاَةْ	,the prayer
الرَسُوُل	,the messenger
حِمَارٌ	,a donkey
أ حذا بَئْتٌ	,is this a house?
أَخْ	,brother
وَاكْتُبْ	,write
السَمَكُ	,the fish
الْكِتَابُ	,the book
ذَٰلِكَ	,that
رَبَّكُمُ	,your lord
الشَّمْسِيَّةْ	,the solar
القُرْآنْ	,The Qur'an
جَمِىْلٌ	,beautiful
اَلْفَمْ	,mouth
كَلْبٌ	,a dog
غَنِيْ	,sufficient / rich / wealthy depending on the context
اِقْرَ	,Read
رَجُلٌ	,a man
اَلثَّوْبْ	,the thobe / outfit
أَ	,is / are
الصَدِيْقْ	,the truthful friend
اَلْعَيْنْ	,The eyes
الظُهْرُ	,The dhuhr time
جَالِسٌ	,sitting
اَمر	,command / request
حَارٌّ	,hot
قَمِئْسٌ	,a shirt
دِئْكُ	,a rooster
الفَجْرْ	,The fajr time
طَوِيْلُ	,Tall
كَبِىْرٌ	,Big / large
الجَنَّةُ	,The paradise
مُسْتَطِىْل	,a rectangle
الكَعْبَةْ	,the kabah
بَارِدُ	,cold
السَّمَاوَاتِ	,The heavens
الْاَبُ	,The father
الْكَلِمَاتُ	,The words
إمَامُ	,Imaam
جَدِىْدٌ	,new
دَّفْتَرٌ	,a notebook
مُدَرِسُ	,a teacher
نعم	,yes
قَلَمُ	,a pen
الْحَقُّ	,the truth
لَا	,not
مُوسَىٰ	,Musa
كُلِّ	,every
سُكَّرُ	,sugar
النَّاسِ	,the people
النَّارُ	,the fire
كِتَابُ	,a book
سَرِئْرُ	,a bed
آيَةٍ	,a sign
قَصِيْرُ	,short
هِذِهِ	,This (feminine)
قَالَ	,to say
إِلَٰهًا	,God
ال,the
مَا	,what
فِي	,in
مَسْجِدُ	,a masjid
اَلْهَوَى	,desire / the nefs / tumbling downwards
الدَّرْسُ	,lesson
الْأَرْضِ	,the earth
الزَهْرَةُ	,flower
حَجَرٌ	,rock
ضَرْفُ	,a sudden task
فُنْدُق	,a hotel
الَّذِينَ	,those who
نَظِىْفُ	,clean
لآ	,no
شَيْءٍ	,thing
يَوْمُ	,day
الحَرْفُ	,the letter
مِفْتَاحُ	,a key
حِصَانْ	,a horse
طَبِئْبُ	,doctor
القَمَرِيَّةُ	,the lunar
اَلْاَبَنُ	,the buttered milk / yogurt
قِطُ	,a cat
طَالِبٌ	,a seeker (of something) or in this case a student
حُلْوُ	,sweet
الْمُؤْمِنِينَ	,the believers
كُرْسِئُ	,a chair
الرَأْسُ	,head
مَكْتَبُ	,a desk
خَفِىْفُ	,light
وَسِخُ	,dirty / filthy
وَلَدُ	,a boy
تَعْلَمُونَ	,to know
مَعَ/ عِنْدَ	,with
أَوَاخِرُ	,in the end
يَا أَيُّهَا	,o you
كَفَرُوا	,to disbelieve
كَلِمَاتُ	,words
اِذحبُ	,(telling) go
الْقَوْمُ	,a people
بَلْ	,nay
حَتَّىٰ	,until
فَقِيْرُ	,poor
الاِصْبَعُ	,the finger
خَبَرُ	,state
ضرف	,sudden task
إِنَّ	,indeed
قَدِىْمُ	,old
الصَّدْرُ	,chest
مَكْسُوْرُ	,is broken
مُبْتَدَأ	,the thing you are talking about
قَمَرُ	,moon
الاْ فعال	,verbs
وَرَقُ	,paper
فَاعِلُ	,it is doing something or that person is doing something
يَذْحَبُ	,he is going
وَزْنُ	,weight
هُوَ	,it / is
مُنَاسِبَةُ	,appropriate
مُضَارِحُ	,present
مِنْ	,from
اللَّهِ	,Allah
إِلَّا	,except
وَمَا	,and not
عَلَىٰ	,on
ثُمَّ	,then
إِلَى	,to
قَدْ	,and certainly
قَبْلُ	,before
بَعْدِ	,after
صَرْفُ	,Spend
ثَقِىْلُ	,heavy
اَلْيَدُ	,hand
الْاِسْمُ	,place / person or thing / anything that is noun
يُؤْمِنُونَ /  آمَنَ	,to believe
كُنْتُمْ / كَانُوا	,to be
سَبِيلِ	,way
فَلَمَّا	,and when
إِذَا	,when
وَلَوْ	,and if
يَشَاءُ	,to will / to wish
أُولَٰئِكَ	,those
يَعْمَلُونَ	,to do / to work
دُونِ	,besides
عَذَابُ	,a punishment
الوَجْهُ	,the face
العَصْرْ	,after noon
ذَحَبَ	,he went
العِشَاءُ	,red twilight of the sun goes away
ضَبْطِ	,placing harakat
بِوَضْعِ	,by placing
الغَرَبَ	,after sun set
الذكر	,mentioning
مَاءُ	,water
مَنْ	,who is
اَلْغَدَاءُ	,the lunch
ماضٍ	,past
الظَّهْرُ	,back
مَفْعُوْلْ	,something has happened to that person or that things
الكَلاَم	,speech
الَلَّحْمُ	,meat
الضَّيْفْ	,guest
رَأيْتُ دُكَانُا	,i seen a store
الدَّرْسُ الأوَّلُ	,the first lesson
الكَلِمَاتُ الْجَدِيْدَةُ	,the New words
التُفَّاحُ لَذِيْذُ	,the apple is delicious
اقْرَ أْ وَاكْتُبْ	,read and write
